Name	Control	Control	Control	Control	Control	Control	Control	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient
ARL6IP1	8.794089999999999	8.879769999999999	8.85714	8.75389	8.69237	8.85196	8.8854	9.00617	8.72127	8.85196	8.73478	8.843110000000001	9.169410000000001	8.94968	9.01008	8.73131	8.54486	8.86922	8.93239	9.53209	8.565380000000001
SMG1	7.53482	7.8142	7.9408	7.56313	7.7664100000000005	7.767689999999999	7.83402	7.7699	7.615	7.36481	7.542839999999999	6.9518	7.754519999999999	7.60543	7.604589999999999	7.50132	7.63592	7.51622	7.53602	7.38324	7.307980000000001
---	4.72299	4.33335	4.65118	4.75042	4.852	4.9490300000000005	4.98626	4.76741	4.02808	4.91624	4.741230000000001	4.1212800000000005	5.0902400000000005	4.9218	5.52251	4.23913	4.99429	4.75159	4.87604	3.9603	4.41136
---	3.04771	2.51547	2.38843	2.88236	2.81219	2.94652	3.16948	3.3735699999999995	2.53461	2.71647	3.3441300000000003	3.4904699999999997	2.39928	2.74321	2.70894	3.06277	3.03452	2.7361400000000002	2.97115	2.8349599999999997	2.72514
GDE1	6.47772	5.92344	6.23476	6.336	5.90627	5.98215	6.03573	6.27628	5.99887	7.0749699999999995	6.28839	6.23088	6.35724	5.73613	6.623010000000001	6.733169999999999	6.52682	6.40751	6.63822	6.70788	6.150530000000001
KNOP1	5.17961	5.25623	5.49065	4.9557	5.41113	5.19606	5.22881	5.04549	5.2691099999999995	3.88105	5.09806	5.19983	5.26397	5.55892	4.58	4.42145	4.163869999999999	4.9160900000000005	5.37361	4.65415	4.80057
GPRC5B	3.56395	2.94557	3.2770900000000003	3.4527300000000003	3.58955	3.5464599999999997	3.41005	3.32358	3.0933	3.28726	3.3982699999999997	3.74488	3.32577	3.19422	3.30133	3.3730900000000004	3.39355	3.78619	3.71595	3.67147	3.2130799999999997
GPR139	5.5142	5.407830000000001	5.0445400000000005	4.9440800000000005	5.05852	5.189769999999999	5.22335	4.67017	4.96995	5.233630000000001	4.96368	5.63417	5.18648	4.70372	4.8971599999999995	5.06404	5.248419999999999	5.43646	5.13311	5.07811	4.82254
GP2	2.8206599999999997	2.9729400000000004	2.5942	3.0027	2.83785	2.79684	2.84439	2.8351900000000003	2.77284	3.13578	2.92535	3.05247	2.64987	3.0066	3.0112099999999997	2.89971	2.96849	2.94225	2.8338400000000004	2.88613	2.67921
UMOD	4.09333	3.82214	4.02424	4.2146099999999995	4.028169999999999	4.06955	4.03864	4.12902	3.9393599999999998	4.07461	4.15059	4.30272	4.15681	3.80447	4.14677	4.06902	4.0808800000000005	4.06902	3.9634699999999996	4.1698699999999995	4.04536
PDILT	1.9410599999999998	1.52629	1.85473	1.8063599999999997	1.8864	1.9395900000000001	1.7826	1.8975	2.1402900000000002	1.92353	2.06865	2.4888	1.7691400000000002	1.73607	1.95469	1.7137099999999998	1.9132099999999999	2.28652	1.8175599999999998	2.16215	1.9555900000000002
ACSM2A	2.29922	1.939	2.0447900000000003	1.77495	1.9447599999999998	1.9332799999999999	1.8176	1.75535	1.4946700000000002	2.2835	1.8844900000000002	1.95923	2.0261099999999996	1.94724	1.95764	1.8851	2.18036	1.8166400000000003	2.04256	2.31833	2.0354900000000002
ACSM1	2.84272	2.44318	2.3816200000000003	2.39719	2.49587	2.6644400000000004	2.49395	2.2610200000000003	2.3446599999999997	2.53622	2.4859299999999998	2.42912	2.52425	2.4219	2.54636	2.29325	2.64542	2.4103	2.4467	2.5813599999999997	2.56917
---	1.41016	1.4484	1.36809	1.5886200000000001	1.4863600000000001	1.37794	1.5709799999999998	1.63267	1.4131	1.4113	2.05209	1.00766	1.75406	1.3846100000000001	1.8082200000000002	1.71202	1.79994	1.3892799999999998	1.4780200000000001	1.46265	1.22665
---	0.7148260000000001	0.715086	0.863977	1.01854	0.652509	0.895915	0.83405	1.0394700000000001	1.0558	0.889475	0.298019	0.77266	0.504801	0.792704	0.9518909999999999	0.8400559999999999	0.534449	0.897395	0.45023599999999997	1.6716900000000001	1.19194
THUMPD1	6.0553	5.86158	6.38358	6.00399	5.97544	5.91019	6.0225599999999995	5.6054699999999995	5.84071	5.04157	5.548690000000001	5.562880000000001	5.39719	5.86123	5.49175	5.49916	5.15716	5.75183	6.2560199999999995	5.52496	5.5848
ERI2	2.65596	2.33722	2.44633	2.6876900000000004	2.72293	2.37773	2.4279599999999997	2.7454	3.53531	2.2316700000000003	2.7454	2.64491	2.81305	3.00198	3.0543400000000003	2.92882	2.7454	2.97705	2.7454	3.41601	2.80646
DCUN1D3	4.6978	5.3361	5.22812	5.04301	4.84931	5.20972	5.10565	5.72189	5.48519	5.1281099999999995	6.06895	4.780130000000001	4.95554	4.88564	5.03965	5.285159999999999	4.99493	5.17146	5.07947	5.17339	5.10306
DNAH3	1.6827900000000002	1.6827900000000002	1.6827900000000002	1.6827900000000002	1.6827900000000002	1.6827900000000002	1.6648	1.6827900000000002	1.68495	1.89611	1.77645	1.76416	1.61744	1.3558700000000001	1.6827900000000002	1.69156	1.57912	1.71297	1.7468400000000002	1.6827900000000002	1.7019799999999998
ZP2	1.72545	2.1246400000000003	1.87002	1.5851	1.57209	1.70069	1.78655	1.7392299999999998	1.7072900000000002	1.69556	1.76233	1.8812200000000001	1.39126	1.76066	1.8062799999999999	1.7506099999999998	1.74627	1.63956	1.6356	1.7126	1.9257900000000001
CRYM	4.17491	4.44701	4.15142	4.13866	4.22175	4.1176	4.204269999999999	4.3613599999999995	4.077459999999999	4.4979	4.1993599999999995	4.49881	4.2088	4.03086	4.05829	4.25805	4.5791900000000005	4.18814	4.36196	4.18232	3.96716
NPIPB5	9.19404	9.32783	9.22749	8.74111	9.2261	9.08849	9.005239999999999	8.75434	8.50711	8.72002	8.68931	8.29467	8.81433	8.68026	8.66494	8.20763	9.1017	8.97884	8.25705	8.8196	8.66623
SMG1	9.5332	9.818019999999999	9.690339999999999	9.29659	9.90343	9.82358	9.69732	9.26385	8.969439999999999	8.91429	9.213189999999999	8.73559	9.1668	9.13372	9.171610000000001	9.20924	9.32156	9.59323	9.34598	9.12445	8.81506
SLC7A5P2	9.48678	9.67441	9.608139999999999	9.3183	9.76282	9.79645	9.57938	9.18587	8.891110000000001	8.758339999999999	9.19355	8.65216	9.159460000000001	9.0855	9.156139999999999	9.14142	9.028139999999999	9.436860000000001	9.210980000000001	9.136000000000001	8.85085
IGSF6	7.743860000000001	7.92955	7.99723	7.8608	7.228110000000001	7.58632	7.72115	8.26688	7.0997	8.06183	7.935239999999999	6.17518	8.09853	6.89778	8.39301	7.98285	7.997719999999999	6.8749199999999995	7.6921800000000005	7.320710000000001	7.22116
RRN3P1	7.3560300000000005	7.0408800000000005	7.35284	7.14571	7.746580000000001	7.510610000000001	7.374280000000001	6.322080000000001	6.974539999999999	5.8216	6.5132900000000005	6.46437	6.721089999999999	6.99759	6.3903099999999995	6.926410000000001	6.4329	7.10088	7.023339999999999	7.056489999999999	6.642289999999999
RRN3	7.7119800000000005	7.88045	7.91672	7.85965	8.20128	7.79847	7.89107	6.62661	7.3699699999999995	6.10602	6.89545	7.26985	7.045669999999999	7.63507	6.717060000000001	7.46753	6.82838	7.80629	7.418880000000001	7.74932	7.2049
NPIPB5	9.239519999999999	9.396980000000001	9.271360000000001	8.77701	9.27476	9.14708	9.0698	8.81819	8.58285	8.759319999999999	8.737739999999999	8.34785	8.87296	8.70706	8.72263	8.28594	9.15513	9.02699	8.36408	8.87894	8.67296
SMG1	10.3296	10.5259	10.4959	10.3207	10.6309	10.6004	10.4722	10.0789	9.78225	9.666269999999999	10.0582	9.485710000000001	9.92493	10.0112	10.0339	10.1132	9.82253	10.2896	10.0595	9.977789999999999	9.78305
PDZD9	1.55316	1.81492	1.53277	1.4215799999999998	1.6046799999999999	1.5668	1.46251	1.4380700000000002	1.4602899999999999	1.92015	1.84655	1.9184400000000001	1.49938	1.4971299999999998	1.5722399999999999	1.35148	1.7235099999999999	2.05435	1.60112	1.7768700000000002	1.62181
CDR2	6.50491	6.279380000000001	6.352530000000001	6.3812	6.6102300000000005	6.7711	6.68498	5.8975	6.944369999999999	5.67402	6.1775199999999995	6.5998600000000005	6.17782	6.62189	5.76275	6.85482	6.3354099999999995	6.52005	7.703869999999999	6.05328	5.93706
USP31	4.950880000000001	4.51261	4.89461	4.63428	4.69802	4.69545	4.8314900000000005	4.74415	4.58026	4.88065	4.75494	5.07149	4.90295	4.85475	4.26595	4.5795	4.92068	4.90041	4.6968	5.05871	5.17619
COG7	4.8444199999999995	5.0029699999999995	5.06625	4.670640000000001	5.0397099999999995	4.94117	4.98399	4.81081	4.8544	4.29367	5.0069300000000005	4.652769999999999	4.6445300000000005	4.81081	4.9388	4.62563	4.64002	4.75892	5.14965	4.81081	4.4172
GGA2	6.680810000000001	6.995010000000001	6.801069999999999	6.50668	6.9097800000000005	6.8962	6.86619	6.09262	6.733960000000001	5.37641	5.77693	6.8200199999999995	6.45683	6.934239999999999	6.45098	6.2104	6.05861	6.37896	6.89429	6.17253	6.620010000000001
EARS2	4.81655	4.5683	4.64021	4.90301	4.783580000000001	4.3754800000000005	4.62789	4.59673	4.792590000000001	4.48799	4.54142	5.28902	4.49632	4.89254	4.42283	4.41761	4.58402	4.65032	4.90034	4.36107	4.61571
NDUFAB1	4.64356	4.56703	4.71011	4.826169999999999	4.96747	5.09826	5.01786	5.29641	6.112480000000001	4.5549599999999995	5.02824	6.2213199999999995	5.176830000000001	6.63403	5.45576	5.20338	4.9256400000000005	5.32164	6.16146	4.81772	4.91869
PALB2	4.14799	4.257619999999999	4.21718	4.09194	4.42778	4.26335	4.49349	3.8666699999999996	4.3928400000000005	3.27915	3.7227900000000003	4.63408	3.94622	4.596080000000001	3.81344	3.7562599999999997	3.98505	4.14799	4.5889	4.29344	4.4
ERN2	3.61705	3.6147400000000003	3.75496	3.7021300000000004	3.90794	3.7598599999999998	3.67305	3.37704	3.57409	3.8961300000000003	3.68969	4.1224	3.29814	3.40202	3.48264	3.67794	3.63856	3.7149400000000004	3.86179	3.82239	3.5903300000000002
---	1.1112600000000001	1.1114	0.8780879999999999	0.945213	0.9208649999999999	0.750721	0.9090090000000001	0.9208649999999999	0.8319139999999999	0.9024260000000001	1.06754	1.32802	0.873194	0.8948020000000001	0.9208649999999999	0.9208649999999999	0.890689	0.9829049999999999	0.8285790000000001	0.9208649999999999	0.9024260000000001
LOC400511	2.76137	2.77142	2.72913	2.44231	2.6154900000000003	2.62644	2.32565	2.65005	2.5254	2.6154900000000003	2.5397	2.72166	2.6154900000000003	2.71165	2.4323799999999998	2.6154900000000003	2.38231	3.2667599999999997	2.53687	2.4116	2.6154900000000003
ARHGAP17	5.62432	5.94435	5.62954	5.47136	5.63828	5.68507	5.79408	5.47979	5.26925	4.88762	5.37301	4.83142	4.96132	5.2819199999999995	5.33265	5.43352	5.43847	5.04812	5.37631	5.2076	5.5881099999999995
ZKSCAN2	2.98968	3.20036	3.28612	3.0148599999999997	3.13823	3.20686	2.80815	3.09202	3.2555400000000003	2.8814	3.07357	2.94804	3.0493900000000003	3.2980300000000002	2.843	2.75422	2.9746599999999996	3.10472	3.36905	3.23665	2.98149
CYCSP39	1.07926	1.49371	1.49371	1.9243400000000002	1.34715	1.50639	1.49371	1.41164	1.19381	1.1936	1.76063	1.0727799999999998	1.49371	1.04672	1.05942	1.1070799999999998	1.44412	1.73652	0.976917	1.0728600000000001	1.0832600000000001
HMGN2	8.774389999999999	9.078389999999999	8.775730000000001	8.66156	8.88456	8.60321	8.814119999999999	9.47025	9.260810000000001	8.502139999999999	9.13514	9.14599	9.16014	9.42723	9.92719	9.59666	9.278260000000001	9.659460000000001	9.082089999999999	10.0897	9.23066
KDM8	3.5319800000000003	3.72789	3.6196900000000003	3.5960400000000003	3.4205400000000004	3.6326	3.5491	3.6166300000000002	3.28685	3.65185	3.7032300000000005	3.28427	3.5151	3.73975	3.173	3.22012	3.0057099999999997	3.23447	3.65049	2.62852	3.18253
NSMCE1	6.1767900000000004	6.163869999999999	5.82546	6.150919999999999	6.383769999999999	6.2038	6.31184	6.12945	6.37038	5.92066	6.39743	6.0727199999999995	6.34165	6.54085	6.2243699999999995	6.02591	6.1404	6.22374	6.44339	6.2401800000000005	5.9153199999999995
GTF3C1	5.5419599999999996	5.4995400000000005	5.46777	5.3271	5.54716	5.45854	5.61723	5.43981	5.59247	4.8433	5.60916	5.09658	5.40801	5.60529	5.39844	5.39572	5.60299	5.49902	5.21967	5.28092	5.46826
---	2.22621	2.07796	2.48415	1.6797400000000002	1.7934599999999998	1.91375	2.31576	1.7795900000000002	2.06459	2.2103900000000003	1.90357	2.52064	2.18495	1.80035	2.1539900000000003	1.79119	2.07063	2.3116	2.06459	2.79981	2.14394
GSG1L	4.9791300000000005	4.95559	4.9791300000000005	5.239269999999999	4.9791300000000005	5.0669	4.89119	5.1195900000000005	4.93347	4.952030000000001	5.08606	4.984319999999999	4.775180000000001	4.74011	4.9791300000000005	4.9791300000000005	5.0117199999999995	4.8564	4.775519999999999	5.1163300000000005	4.979830000000001
RNU6-1241P	2.88346	2.88825	2.85034	3.0575900000000003	2.94532	2.6507400000000003	3.1190700000000002	3.41244	3.2631	3.14392	2.86878	2.57746	3.015	2.69723	2.89649	2.84963	3.3004300000000004	2.88814	2.59477	2.48692	3.1797
XPO6	10.4131	10.6132	10.5182	10.2523	10.1178	10.0914	10.2251	10.7061	10.5724	10.8178	10.9624	9.03266	10.6356	9.92399	10.5954	10.4764	11.1038	9.6909	9.85839	9.48303	10.4054
NPIPB6	7.39737	7.522	7.499630000000001	6.994680000000001	7.66027	7.64447	7.49976	7.04638	6.87401	6.88395	6.9634	6.72036	6.964980000000001	7.15955	7.00197	6.739889999999999	7.306589999999999	7.2541199999999995	6.823510000000001	7.05122	6.8524899999999995
NPIPB6	7.38467	7.49958	7.47421	6.978610000000001	7.63191	7.62523	7.4518	7.030710000000001	6.88921	6.89308	6.99293	6.74092	7.00139	7.117839999999999	7.00197	6.733960000000001	7.33029	7.32912	6.808260000000001	7.05635	6.795
CLN3	6.5371	6.62003	6.48548	6.35537	6.5864199999999995	6.63612	6.33226	6.595910000000001	6.90048	6.47246	6.50431	5.98839	6.443169999999999	6.69486	6.90521	6.5371	6.60363	6.766560000000001	6.09395	6.27861	6.7058800000000005
IL27	4.63622	4.586880000000001	4.63622	4.74974	4.38983	4.58298	4.751580000000001	5.048019999999999	4.30772	4.46694	5.005780000000001	4.63622	4.66071	4.09251	4.73851	4.41351	4.68896	4.3301099999999995	4.8083599999999995	4.85835	4.547219999999999
NUPR1	4.20375	4.36877	4.03921	4.11121	4.02723	4.24896	3.39451	3.69591	4.03391	4.1547	4.05621	4.008430000000001	3.8600800000000004	3.7655300000000005	3.78946	3.5741	4.06316	3.9632099999999997	3.68071	4.19652	4.23666
SULT1A2	4.69637	4.35141	4.44654	4.71687	4.40752	4.3757	4.52479	5.14811	4.94038	4.52079	4.270919999999999	3.3580300000000003	4.26474	4.7759	5.14232	5.70369	4.6878	4.8701	3.7407	4.56787	5.08055
SULT1A1	5.25855	5.1052	4.88666	5.443630000000001	5.179869999999999	5.01173	4.89766	5.17497	5.87568	5.35331	4.8556	4.77345	4.91244	5.37561	5.87062	5.81917	5.30288	5.63626	4.02966	4.88666	5.91337
CDC37P1	4.46659	4.568569999999999	4.59096	4.568569999999999	4.56534	4.50699	4.5343	4.568569999999999	4.59836	4.61519	4.5069099999999995	4.962330000000001	4.568569999999999	4.39615	4.48106	4.568569999999999	4.78655	4.82322	4.4041	4.8166400000000005	4.723269999999999
TUFM	6.756539999999999	6.5739600000000005	6.445130000000001	6.566489999999999	6.69278	6.70517	6.64197	6.65428	7.1991	6.04634	6.56858	7.47571	6.46671	7.236960000000001	6.8554	6.7653	6.38713	7.01525	7.443910000000001	6.29991	6.91798
---	1.06259	1.06259	1.25424	1.0943100000000001	0.886569	0.9211219999999999	1.0943100000000001	1.18424	0.9543440000000001	1.82286	1.1355600000000001	1.23053	1.47729	1.04555	1.0943100000000001	1.0943100000000001	1.18716	1.31459	1.16196	0.94453	1.0943100000000001
RABEP2	4.88662	5.001519999999999	4.94053	4.97537	5.04751	5.04263	5.03268	4.90381	4.92466	5.01275	4.75136	5.02045	4.81505	4.610040000000001	4.74974	4.86029	4.71603	4.88238	4.98648	5.04626	4.93254
---	4.2228699999999995	4.32231	3.9271599999999998	4.753369999999999	4.37563	4.15068	4.43697	4.25126	4.365130000000001	4.75493	4.82426	4.97769	4.2579	4.37668	4.3964300000000005	4.4543099999999995	4.44004	3.8339300000000005	4.05478	4.60945	4.2630099999999995
---	1.80203	1.8775	1.5924	1.7733599999999998	1.6763299999999999	1.8324900000000002	1.54558	1.43685	1.3381100000000001	1.95317	1.235	2.18114	1.20202	1.39141	1.5659100000000001	1.9232599999999997	1.54421	1.5199799999999999	2.03612	0.9559639999999999	1.33172
NPIPB5	7.9456	7.89733	8.05237	7.46887	8.18244	8.103860000000001	7.79965	7.5048699999999995	7.42249	7.777480000000001	7.47774	6.901510000000001	7.54113	7.51582	7.45458	7.143739999999999	7.936489999999999	7.85751	7.193460000000001	7.575880000000001	6.9382
SMG1	9.83784	10.1492	10.0289	9.646230000000001	10.2554	10.0864	10.0509	9.55285	9.32282	9.16209	9.59261	9.07986	9.46172	9.456760000000001	9.478660000000001	9.6148	9.71521	9.92227	9.67194	9.40421	9.11422
---	5.291930000000001	5.28592	5.43949	5.3116900000000005	5.83228	5.72423	5.6777	5.27339	4.83586	5.06024	5.14369	4.65391	5.42856	5.22621	5.29186	5.15179	5.2512	5.39725	5.187930000000001	4.84359	4.857419999999999
BOLA2	8.86702	9.10674	9.06387	8.72516	9.20204	9.16855	9.0204	8.68839	8.50683	8.42117	8.66571	8.1966	8.665989999999999	8.617510000000001	8.626669999999999	8.71335	8.64119	8.90944	8.74685	8.639619999999999	8.38691
NPIPB5	9.14195	9.291960000000001	9.18272	8.68326	9.18206	9.05378	8.954189999999999	8.718910000000001	8.46476	8.663780000000001	8.63611	8.25618	8.766910000000001	8.62175	8.61761	8.188360000000001	9.05011	8.92197	8.23283	8.768139999999999	8.55977
SMG1	9.23528	9.361989999999999	9.39662	8.859810000000001	9.44352	9.27192	9.31348	9.02351	8.69379	8.40198	8.82134	8.6199	8.859810000000001	8.69177	8.78172	8.660160000000001	8.78861	9.140189999999999	8.83281	8.66339	8.06577
BOLA2	7.945	8.17459	7.965889999999999	7.82953	8.15953	8.21748	8.06838	7.68027	7.56866	7.48827	7.7534600000000005	7.50047	7.75891	7.83011	7.75908	7.81058	7.7165	7.9555	7.9066600000000005	7.739510000000001	7.609319999999999
RN7SKP127	1.19245	1.33346	1.33346	1.2847899999999999	1.75473	1.4173200000000001	1.13897	1.33346	1.1941	1.25466	1.2975	1.48861	1.33346	1.3224	1.53207	1.27142	1.45121	1.4139700000000002	1.5364	1.33346	1.33346
C16orf54	7.00701	6.865419999999999	7.146489999999999	6.986339999999999	7.06455	6.8237	6.627730000000001	6.69067	6.94752	7.27295	6.60376	6.295059999999999	7.291410000000001	6.1394400000000005	6.954960000000001	7.021260000000001	7.11598	6.7690600000000005	6.349019999999999	6.6048	6.80968
CDIPT	8.50791	8.46377	8.56926	8.57586	8.437330000000001	8.38068	8.16231	7.999789999999999	7.97081	9.13835	8.00384	8.94507	8.33029	7.80933	8.30964	8.57184	8.43409	8.542710000000001	8.7287	8.50179	8.32526
SEZ6L2	3.56779	3.6882099999999998	3.91799	3.93154	4.072	3.6072	3.7353199999999998	3.7353199999999998	3.58094	3.72624	3.89955	3.87014	3.41595	3.50444	3.7353199999999998	3.57657	3.9413199999999997	3.90604	3.62276	3.7353199999999998	3.64794
KCTD13	5.37918	5.46164	5.46994	5.1917	5.5008099999999995	5.3592699999999995	5.40688	5.48154	5.38467	5.3501199999999995	5.35389	5.0236	5.4991900000000005	5.10645	5.37124	5.14426	5.5969	5.31251	5.10006	5.39246	5.37124
---	3.82635	3.5874900000000003	3.1581200000000003	3.77547	3.28493	3.5997	3.52769	3.2009	2.84579	3.82502	3.2771	3.8303199999999995	3.0798900000000002	3.25598	3.07461	3.43089	3.5436699999999997	3.7962599999999997	3.4642199999999996	3.4785699999999995	3.8174900000000003
HIRIP3	3.7334199999999997	3.7334199999999997	3.9577699999999996	3.7374699999999996	3.90095	3.6133900000000003	4.28314	3.93645	4.2818	3.46074	4.11394	3.89735	3.47168	4.39179	4.27351	4.0086900000000005	3.91923	3.9308699999999996	4.20558	3.93645	3.93645
DOC2A	3.7068	3.46291	3.1067400000000003	3.3698	3.3918	3.45738	3.4321099999999998	3.17377	3.25426	3.58267	3.3698	3.60165	3.3698	3.20728	3.19921	3.2854300000000003	3.39166	3.18959	3.33658	3.4921699999999998	3.6130199999999997
FAM57B	4.98377	5.02405	4.82814	4.77723	4.77723	4.77723	4.77723	4.54891	4.648540000000001	5.10575	4.47401	5.2060900000000006	4.4426	4.500769999999999	4.69102	4.77723	4.84132	4.57828	4.8163	5.0346400000000004	4.86161
TBX6	3.94075	4.01693	3.62075	3.7468	3.83713	3.5995699999999995	3.78275	3.90274	3.51749	4.366230000000001	3.75085	3.4976800000000003	3.56972	3.59047	3.8706400000000003	3.72981	3.82519	3.84194	4.0587800000000005	3.88754	3.6868199999999995
YPEL3	8.72119	8.28467	8.33375	8.61997	8.04814	7.96828	7.825060000000001	7.684660000000001	7.26342	9.33933	7.13991	8.52613	8.26084	7.3897	7.7252	8.56632	8.64815	8.09943	8.589780000000001	8.29826	8.05321
GDPD3	4.67135	4.03986	4.08174	4.0461800000000006	4.08925	4.1102300000000005	3.99391	4.68996	4.7975699999999994	5.00363	3.44576	3.76603	4.457990000000001	4.66582	4.37628	4.477	4.78829	4.26725	3.85201	4.19766	4.26725
MAPK3	7.227710000000001	7.078360000000001	7.22205	7.008939999999999	6.8778	6.951239999999999	6.86538	7.619489999999999	6.979410000000001	7.61567	7.4231300000000005	6.09186	7.72289	6.82614	7.62172	7.14438	7.61405	6.95817	6.45702	6.94053	7.47078
SMG1	9.30832	9.62246	9.47836	9.10952	9.74282	9.52636	9.51737	9.02487	8.82034	8.740269999999999	9.08315	8.585469999999999	8.89437	8.88583	8.95011	9.07755	9.18645	9.40282	9.13912	8.85564	8.50009
SMG1	9.57784	9.84853	9.80376	9.44442	9.95293	9.8916	9.74318	9.39987	9.14071	9.02158	9.35493	8.81054	9.2991	9.218539999999999	9.3142	9.4083	9.297039999999999	9.604410000000001	9.368210000000001	9.29048	9.019919999999999
CD2BP2	6.391859999999999	6.4815	6.50833	6.56728	6.44875	6.33254	6.42809	6.84552	6.64882	6.50073	6.8155600000000005	6.445469999999999	6.49377	6.579389999999999	6.6055	6.50073	6.50073	6.77663	6.4299	6.43567	6.25683
TBC1D10B	5.79668	5.73834	5.7577	5.58619	5.39856	5.58343	5.40466	6.13696	5.6527400000000005	6.18	6.20191	5.4184	5.9821599999999995	5.74518	6.04752	5.7917	6.01135	5.67917	5.65299	5.7937199999999995	5.75856
SEPT1	7.08436	6.972810000000001	7.22881	7.01168	7.344180000000001	7.35342	7.3209	5.56214	6.80092	5.78613	6.08689	7.01801	6.4671199999999995	7.08771	5.9120099999999995	5.81415	5.72253	7.165789999999999	7.3513	5.86621	6.480230000000001
---	4.23203	3.20613	3.78974	3.78	3.9800199999999997	3.6193400000000002	3.6798	3.4628400000000004	3.79754	4.166869999999999	3.3670400000000003	4.21171	3.44142	3.3160300000000005	3.6425	3.9835800000000003	3.6535300000000004	3.95952	4.03998	3.70476	3.81294
DCTPP1	6.596419999999999	6.76479	6.66685	6.63382	6.8392	6.92685	6.95248	7.01934	7.09811	6.0171	7.26001	7.6154	6.49978	7.20303	7.31268	6.69652	6.35044	7.12674	7.72193	7.00477	6.92731
SEPHS2	6.42857	6.475169999999999	6.3853599999999995	6.45207	6.18409	6.55109	6.44756	6.70212	6.72797	6.51967	7.03873	6.51322	6.7496100000000006	6.478219999999999	6.751110000000001	6.49815	6.5408	6.6188899999999995	6.5179800000000006	6.44117	6.59572
---	6.14145	5.6787	5.84124	5.41723	5.95026	5.80065	6.04013	5.98369	6.31325	6.49165	6.08853	6.30411	6.36563	5.84145	5.70947	5.56543	6.20169	6.03017	6.166119999999999	5.77614	6.06334
ZNF768	5.14232	4.9044099999999995	4.577369999999999	4.8247800000000005	4.75971	4.69905	4.6321900000000005	4.63322	4.89227	5.12216	5.17355	4.88769	5.0967199999999995	4.61533	5.5214	5.07674	4.8209800000000005	4.82918	4.92946	5.06683	4.8602
ZNF747	5.89877	6.19077	5.88473	6.05164	6.07527	5.8852400000000005	6.18023	5.90535	5.82396	5.84408	6.0606800000000005	6.4627	6.01486	5.98393	5.79321	5.8987	5.84488	6.13842	5.97884	6.05839	5.95385
ZNF764	5.23411	5.149780000000001	5.30091	5.20178	5.38197	5.35797	5.43436	5.2742	5.25315	5.24155	5.30766	5.34504	5.44264	5.12301	5.3194099999999995	4.96073	5.2291099999999995	5.40888	5.18617	5.66425	5.44509
ZNF688	4.8455900000000005	4.70576	4.79777	4.73116	4.64294	4.73766	4.72918	4.6687199999999995	5.0755	4.40822	5.01508	4.9541699999999995	4.9030000000000005	4.720680000000001	4.761830000000001	4.4581800000000005	4.61107	4.78851	4.8898	5.05696	4.81949
ZNF785	5.46801	5.54258	5.51159	5.30776	5.39015	5.56602	5.61535	5.13698	4.97011	5.12593	5.20485	5.43496	5.16625	5.1506300000000005	4.86468	5.36406	5.1484	5.50129	5.2192099999999995	5.205830000000001	5.391290000000001
ZNF689	5.10973	5.28562	4.74076	4.84531	4.7263	5.15216	5.03664	4.91879	5.02831	4.563359999999999	4.9719999999999995	5.24869	4.60061	4.818919999999999	5.00495	4.88534	5.07365	4.96014	4.99005	4.53758	5.15216
RNU6-416P	3.55301	2.45824	2.37436	2.38978	2.4315599999999997	2.4302200000000003	2.60377	2.5459	2.41171	3.2125	2.6419900000000003	2.80175	2.68487	2.58013	2.61587	2.6419900000000003	2.67371	2.6419900000000003	2.92187	3.2820699999999996	3.48009
RNU6-1043P	1.33324	1.38991	1.19898	1.48098	1.63066	1.2889700000000002	1.6633200000000001	1.16983	1.47065	1.45008	2.29752	1.05102	1.09928	1.64075	1.34045	1.05072	1.35712	1.9847299999999999	1.48351	1.45025	1.26721
C16orf93	4.1108199999999995	3.9398400000000002	3.78976	4.18813	3.54222	3.9462599999999997	4.00896	4.033919999999999	4.34091	4.60657	3.72094	3.9648800000000004	4.26585	4.017580000000001	4.21949	4.259580000000001	4.28914	3.6036900000000003	4.03517	4.4059800000000005	3.7959199999999997
ZNF629	4.23102	3.91402	4.01395	3.91468	4.1536599999999995	4.17366	3.95778	4.1102300000000005	4.1536599999999995	3.97813	4.36154	4.11759	4.11759	4.01841	4.20676	4.049259999999999	4.21636	4.1908	4.07503	3.9311599999999998	4.11624
---	4.95516	5.18091	4.92502	5.12195	4.92502	5.00833	5.2241	5.19538	5.0807199999999995	5.19563	4.48908	4.73647	5.636830000000001	4.7523800000000005	4.9602	5.0807199999999995	5.40632	5.1775199999999995	5.0807199999999995	5.644880000000001	5.644880000000001
BCL7C	5.59679	5.5094	5.49705	5.4736400000000005	5.60266	5.54387	5.4893	5.59788	5.41574	5.480169999999999	5.5263	5.4128300000000005	5.40078	5.55635	5.41755	5.32837	5.49705	5.50191	5.49218	5.66254	5.49665
FBXL19-AS1	3.10301	2.8445	2.82197	2.87276	2.83957	2.69392	2.4633	2.81796	2.53001	3.13801	2.9048700000000003	3.07304	3.09948	2.6619900000000003	2.88508	2.70715	2.76642	2.7115299999999998	2.964	3.08184	2.70951
