Name	Control	Control	Control	Control	Control	Control	Control	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient
FAM87B	2.9717700000000002	3.3054699999999997	3.23407	3.35376	3.13583	2.8679200000000002	3.23812	3.11726	2.84862	2.97558	3.17265	3.30729	3.16856	2.8679	3.4804699999999995	3.4107800000000004	3.42575	3.26631	2.86039	3.44535	3.09069
LINC01128	5.12106	4.8307400000000005	4.75467	4.27628	5.15156	4.97879	4.82498	4.47181	4.554180000000001	4.576230000000001	4.49565	4.55007	4.26918	4.67014	4.1419999999999995	3.93894	4.04561	5.28368	4.64187	4.49521	4.51895
SAMD11	4.44289	4.6894599999999995	4.35888	4.58056	4.23334	4.41043	4.49788	4.2133	4.22834	4.469119999999999	4.4504	4.61259	4.24073	4.29876	4.31672	4.6456800000000005	4.3764	4.62438	4.33097	4.7333300000000005	4.28274
KLHL17	5.03035	4.976030000000001	4.74595	5.08986	4.902769999999999	4.9530199999999995	4.89746	4.8212	4.68748	5.2245	4.61235	5.4101300000000005	4.89746	4.75989	4.59459	4.75989	4.79159	5.00448	4.87394	4.99282	5.13212
PLEKHN1	5.047680000000001	4.85372	4.85301	5.070130000000001	4.84437	5.09909	4.73356	4.69308	4.83991	5.300330000000001	5.11419	5.21384	4.7342	4.698980000000001	4.62424	4.84957	4.96816	5.1185599999999996	4.67965	5.00786	5.01105
ISG15	5.02176	4.7979400000000005	5.02787	4.87205	4.979830000000001	4.97613	5.0038	6.5457	6.320530000000001	4.89565	6.19371	4.79951	4.4160699999999995	5.02176	5.94613	4.919569999999999	5.02877	5.00496	4.60302	4.57828	4.71749
AGRN	4.12946	4.2984	4.1855400000000005	4.35746	4.20638	4.01394	4.1855400000000005	4.1855400000000005	4.1855400000000005	4.35226	4.30162	4.57454	4.11106	3.9982900000000003	4.1855400000000005	4.1752199999999995	4.1855400000000005	4.13505	3.99119	4.25403	4.27603
MIR200B	3.2821	3.6576199999999996	3.4420300000000004	3.64226	3.52359	3.59295	3.4420300000000004	3.4420300000000004	3.2653	3.54744	3.53712	3.7295800000000003	3.0725599999999997	3.18297	3.21216	3.5217	3.12312	3.6184	3.2844	3.4420300000000004	3.2904199999999997
MIR200A	1.9721799999999998	1.7644400000000002	1.7644400000000002	1.7644400000000002	1.7644400000000002	1.7644400000000002	1.7644400000000002	1.7644400000000002	2.21182	2.1469099999999997	1.8618299999999999	1.72823	1.45656	1.7981099999999999	1.5097399999999999	1.7644400000000002	1.7126099999999997	1.72335	1.9110900000000002	1.7644400000000002	1.54159
MIR429	4.34013	4.3621300000000005	4.37897	4.44981	4.35191	4.27435	4.29062	3.98096	3.83503	4.33988	4.12426	4.67141	4.43922	3.9005199999999998	4.230580000000001	4.20139	4.4897800000000005	4.154780000000001	4.54835	4.28373	4.48808
TTLL10	5.186	5.07066	5.073869999999999	5.240130000000001	5.151	5.152909999999999	5.195209999999999	4.89227	4.62477	5.3087	5.11492	5.324319999999999	4.80035	5.0513	4.84287	5.26655	5.13183	5.24786	5.28409	5.11773	5.12311
B3GALT6	5.3703199999999995	5.43201	5.08763	5.16362	5.41761	5.47457	5.38387	5.15465	5.10773	5.4240900000000005	5.26706	5.369730000000001	5.01591	5.0399400000000005	4.91289	5.21414	5.37573	5.53251	5.52913	5.33895	5.566
SCNN1D	4.01898	4.41568	4.15373	4.43696	4.224080000000001	4.24126	4.30106	4.22313	3.94325	4.56072	4.28707	4.6851199999999995	4.28941	4.0815	4.17212	4.1916199999999995	4.222230000000001	4.14239	4.08317	4.32239	4.39082
PUSL1	4.30163	4.8570400000000005	4.50226	4.68717	4.41667	4.65304	4.40265	4.4544	4.44086	4.59311	4.49634	4.6804	4.54991	4.35036	4.50444	4.680619999999999	4.726780000000001	4.27815	4.59229	4.560980000000001	4.67428
CPTP	4.84858	4.85926	4.74591	4.72802	4.762919999999999	4.47645	4.6127400000000005	4.85519	4.82503	5.0086900000000005	4.94755	5.25101	5.01315	4.7602400000000005	4.84858	4.63287	4.99613	5.04938	4.77447	5.05405	4.88265
TAS1R3	4.9396	4.894080000000001	4.81156	4.833559999999999	4.5810699999999995	4.6665	4.88251	4.77111	4.7369900000000005	4.72152	4.81579	5.058669999999999	4.78961	4.69056	4.71301	4.762580000000001	4.77589	4.77851	4.759119999999999	4.8311	4.67845
VWA1	5.06515	5.12106	4.99083	5.12627	5.00786	5.14734	5.21186	4.93899	4.929180000000001	5.23886	5.00985	5.42539	4.79705	4.79131	4.77539	5.00924	5.05368	4.88586	4.87604	5.0412099999999995	5.0972800000000005
ATAD3C	3.49339	3.67348	3.6113199999999996	3.8292599999999997	4.06428	3.50015	4.05437	3.69644	4.08638	3.47992	3.8592699999999995	4.10489	3.72191	3.87705	3.7777	3.8292599999999997	3.57281	4.02433	4.1070199999999994	3.66424	4.0006
ATAD3A	4.8801	5.37669	5.17408	5.39093	5.1048800000000005	5.06463	5.18387	5.1254	5.32332	5.17408	5.0656	5.79186	4.64285	5.36704	4.97783	5.19947	5.0014	5.25635	5.52241	5.13894	5.17697
ATAD3B	4.86057	4.93786	5.12047	5.0807199999999995	5.20204	5.13641	5.28907	5.0807199999999995	5.17764	4.6962	5.0807199999999995	5.36801	4.54319	5.37271	5.11885	5.0807199999999995	4.84941	5.17095	5.25853	4.8641	5.1211
SSU72	4.02851	3.9279300000000004	3.71863	3.93131	3.78312	3.7525699999999995	3.8841699999999997	3.31952	3.7268	4.196219999999999	3.63772	3.87574	3.82447	4.27188	3.70574	3.8364800000000003	3.84915	3.9309199999999995	3.7361	4.00454	4.03301
